State/UT,Year, Geographical Area,Total Forest Cover Area,Very Dense,Moderately Dense,Open Forest, Scrub Land,Mangrove
Andaman and Nicobar Islands,2019,8249.0,6743.0,5678.0,684.0,381.0,146.0,616.0
Chandigarh,2019,114.0,22.03,1.36,14.24,6.43,1.0,0.0
Dadra & Nagar Haveli,2019,491.0,207.0,0.0,80.0,127.0,0.1,0.0
Daman & Diu,2019,111.0,20.49,1.4,5.69,13.4,5.0,3.0
Lakshadweep,2019,30.0,27.1,0.0,16.09,11.01,0.0,0.0
Puducherry,2019,490.0,52.41,0.0,17.66,34.75,0.0,2.0
India,2017,3287469.0,708273.0,98518.0,308318.0,301797.0,610115.0,4921.0
Andhra Pradesh,2017,162968.0,28147.0,1957.0,14051.0,12139.0,9560.0,404.0
Arunachal Pradesh,2017,83743.0,66964.0,20721.0,30955.0,15288.0,247.0,0.0
Assam,2017,78438.0,28105.0,2797.0,10192.0,15116.0,217.0,0.0
Bihar,2017,94163.0,7299.0,332.0,3260.0,3707.0,228.0,0.0
Chattisgarh,2017,135192.0,55547.0,7064.0,32215.0,16268.0,552.0,0.0
Delhi,2017,1483.0,192.41,6.72,56.24,129.45,0.67,0.0
Goa,2017,3702.0,2229.0,538.0,576.0,1115.0,0.0,26.0
Gujarat,2017,196244.0,14757.0,378.0,5200.0,9179.0,2194.0,1140.0
Haryana,2017,44212.0,1588.0,28.0,452.0,1108.0,154.0,0.0
Himachal Pradesh,2017,55673.0,15100.0,3110.0,6705.0,5285.0,308.0,0.0
Jammu & Kashmir,2017,222236.0,23241.0,4075.0,8579.0,10587.0,573.0,0.0
Jharkhand,2017,79716.0,23553.0,2598.0,9686.0,11269.0,669.0,0.0
Karnataka,2017,191791.0,37550.0,4502.0,20444.0,12604.0,4484.0,10.0
